ffb80974bce7a9f7e5ee3fdf14bdb212

Rectangle@( 5753.0 , 1103.5 ), width: 11498.0 , height: 97.0

Rectangle@( 53.0 , 528.0 ), width: 98.0 , height: 1054.0

Rectangle@( 11453.5 , 528.0 ), width: 97.0 , height: 1054.0

Rectangle@( 4560.0 , 388.5 ), width: 186.0 , height: 579.0

Rectangle@( 8819.5 , 381.5 ), width: 193.0 , height: 565.0

Rectangle@( 10811.5 , 573.0 ), width: 193.0 , height: 182.0

Rectangle@( 4846.5 , 572.5 ), width: 385.0 , height: 97.0

Rectangle@( 9815.5 , 530.5 ), width: 1797.0 , height: 97.0

Rectangle@( 4080.5 , 529.5 ), width: 385.0 , height: 97.0

Rectangle@( 5488.5 , 522.5 ), width: 383.0 , height: 97.0

Rectangle@( 6128.5 , 480.5 ), width: 385.0 , height: 97.0

Rectangle@( 1059.0 , 290.5 ), width: 194.0 , height: 383.0

Rectangle@( 3454.5 , 432.5 ), width: 385.0 , height: 97.0

Rectangle@( 6754.5 , 418.5 ), width: 385.0 , height: 97.0

Rectangle@( 1825.5 , 195.0 ), width: 193.0 , height: 192.0

Rectangle@( 2975.0 , 195.0 ), width: 194.0 , height: 192.0

Rectangle@( 7211.0 , 195.0 ), width: 192.0 , height: 192.0

Rectangle@( 629.0 , 49.5 ), width: 1054.0 , height: 97.0

Rectangle@( 3096.5 , 49.5 ), width: 3113.0 , height: 97.0

Rectangle@( 9308.5 , 49.5 ), width: 4387.0 , height: 97.0

