160c823f9dd81b547480c91993d4b689

Rectangle@( 5749.0 , 1103.5 ), width: 11498.0 , height: 97.0

Rectangle@( 48.5 , 528.0 ), width: 97.0 , height: 1054.0

Rectangle@( 11449.0 , 528.0 ), width: 98.0 , height: 1054.0

Rectangle@( 11157.0 , 655.0 ), width: 484.0 , height: 98.0

Rectangle@( 8617.0 , 532.5 ), width: 182.0 , height: 97.0

Rectangle@( 10720.5 , 471.5 ), width: 385.0 , height: 97.0

Rectangle@( 8527.0 , 291.0 ), width: 194.0 , height: 384.0

Rectangle@( 2876.0 , 195.0 ), width: 192.0 , height: 192.0

Rectangle@( 10160.5 , 195.0 ), width: 191.0 , height: 192.0

Rectangle@( 4733.5 , 147.5 ), width: 97.0 , height: 97.0

Rectangle@( 6339.5 , 147.5 ), width: 97.0 , height: 97.0

Rectangle@( 2727.5 , 49.5 ), width: 5261.0 , height: 97.0

Rectangle@( 8661.5 , 49.5 ), width: 5673.0 , height: 97.0

