a2810f91cda110d9954bfe7dfaa3bfe1

Rectangle@( 5753.0 , 1103.5 ), width: 11498.0 , height: 97.0

Rectangle@( 53.0 , 528.0 ), width: 98.0 , height: 1054.0

Rectangle@( 11453.5 , 528.0 ), width: 97.0 , height: 1054.0

Rectangle@( 11210.5 , 387.0 ), width: 387.0 , height: 576.0

Rectangle@( 3373.5 , 530.5 ), width: 97.0 , height: 97.0

Rectangle@( 3982.5 , 530.5 ), width: 97.0 , height: 97.0

Rectangle@( 4315.5 , 530.5 ), width: 97.0 , height: 97.0

Rectangle@( 4884.5 , 530.5 ), width: 97.0 , height: 97.0

Rectangle@( 3678.0 , 432.5 ), width: 706.0 , height: 97.0

Rectangle@( 4600.0 , 432.5 ), width: 666.0 , height: 97.0

Rectangle@( 1825.5 , 195.0 ), width: 193.0 , height: 192.0

Rectangle@( 2975.0 , 195.0 ), width: 194.0 , height: 192.0

Rectangle@( 5852.0 , 195.0 ), width: 194.0 , height: 192.0

Rectangle@( 5193.5 , 147.5 ), width: 97.0 , height: 97.0

Rectangle@( 8984.5 , 147.5 ), width: 97.0 , height: 97.0

Rectangle@( 723.0 , 49.5 ), width: 1242.0 , height: 97.0

Rectangle@( 3485.5 , 49.5 ), width: 3513.0 , height: 97.0

Rectangle@( 8628.5 , 49.5 ), width: 5747.0 , height: 97.0

